def_id,study1_image_id,study2_image_id_black,study2_image_id_white
10509, BM-013, BM-016, WM-019
10660, LM-200, BM-003, WM-006
10871, WF-026, BF-027, WF-026
10894, BM-011, BM-017, WM-012
67, BM-011, BM-017, WM-012
533, BF-001, BF-001, WF-001
640, BM-036, BM-009, WM-001
646, LM-204, BM-034, WM-221
654, WM-002, BM-011, WM-011
692, BM-018, BM-020, WM-014
1729, BM-025, BM-012, WM-018
1787, BM-003, BM-010, WM-010
2054, WM-006, BM-002, WM-004
2262, BM-015, BM-013, WM-015
2291, empty,NA,NA
2382, empty,NA,NA
2874, BM-004, BM-004, WM-002
2914, BM-020, BM-011, WM-011
3438, WM-010, BM-015, WM-017
3674, BF-009, BF-010, WF-018
4112, BM-009, BM-009, WM-001
4408, BM-033, BM-025, WM-201
4518, BM-005, BM-001, WM-003
4534, BF-007, BF-009, WF-008
4641, WF-008, BF-015, WF-033
4873, BF-003, BF-003, WF-003
5650, BM-013, BM-010, WM-010
5655, WF-001, BF-001, WF-001
5793, BF-024, BF-024, WF-014
6043, WM-248, BM-213, WM-248
6264, BF-011, BF-007, WF-002
6278, BF-010, BF-011, WF-023
6432, WF-014, BF-024, WF-014
6481, BF-004, BF-004, WF-005
6503, LM-215, BM-021, WM-023
6791, empty,NA,NA
6875, WM-003, BM-002, WM-004
7037, BM-001, BM-001, WM-003
7051, empty,NA,NA
7738, WM-011, BM-004, WM-002
7903, BF-203, BF-203, WF-221
7948, BM-002, BM-003, WM-006
8479, BM-034, BM-225,NA
8560, WM-223, BM-212, WM-223
8724, BM-021, BM-021, WM-023
8867, WM-009, BM-005, WM-009
