Target,Race,Gender,Age
LM-253,L,M,28.36363636
WF-001,W,F,24.94949495
WF-002,W,F,30.15957447
WF-003,W,F,26.71428571
WF-005,W,F,22.39325843
WF-006,W,F,24.33684211
WF-007,W,F,21.79787234
WF-008,W,F,30.21052632
WF-009,W,F,23.30526316
WF-010,W,F,26.25
WF-011,W,F,24.04166667
WF-012,W,F,23.17525773
WF-013,W,F,26.42391304
WF-014,W,F,36.1
WF-015,W,F,24.21111111
WF-016,W,F,25.41111111
WF-017,W,F,23.30337079
WF-018,W,F,33.86516854
WF-019,W,F,28.34782609
WF-020,W,F,26.02222222
WF-021,W,F,25.69230769
WF-022,W,F,19.91397849
WF-023,W,F,32.74193548
WF-024,W,F,23.93617021
WF-025,W,F,28.10869565
WF-026,W,F,37.22680412
WF-027,W,F,21.29213483
WF-028,W,F,27.25
WF-029,W,F,24.36046512
WF-030,W,F,24.17977528
WF-031,W,F,23.23529412
WF-033,W,F,32.04040404
WF-034,W,F,28.11827957
WF-035,W,F,24.76136364
WF-036,W,F,22.64444444
WF-037,W,F,23.5
WF-038,W,F,28.72282609
WF-039,W,F,23.72340426
WF-200,W,F,33.04
WF-201,W,F,27
WF-202,W,F,27.96551724
WF-203,W,F,23.55555556
WF-204,W,F,25.39285714
WF-205,W,F,27.56
WF-206,W,F,28.06896552
WF-207,W,F,24.875
WF-208,W,F,26.44444444
WF-209,W,F,27.79310345
WF-210,W,F,27.38461538
WF-211,W,F,21.55172414
WF-212,W,F,22.96551724
WF-213,W,F,25.65517241
WF-214,W,F,28.34482759
WF-215,W,F,30.64
WF-216,W,F,39.30769231
WF-217,W,F,32.88461538
WF-218,W,F,28.96551724
WF-219,W,F,24.65384615
WF-220,W,F,24.4137931
WF-221,W,F,42.32142857
WF-222,W,F,38.8
WF-223,W,F,23.26923077
WF-224,W,F,30.625
WF-225,W,F,26.22222222
WF-226,W,F,32.23809524
WF-227,W,F,26.92592593
WF-228,W,F,36.23076923
WF-229,W,F,22.92
WF-230,W,F,22.76
WF-231,W,F,26.31034483
WF-232,W,F,25.27586207
WF-233,W,F,22.60869565
WF-234,W,F,22.62962963
WF-235,W,F,29.61538462
WF-236,W,F,26.38461538
WF-237,W,F,39.76923077
WF-238,W,F,25.24
WF-239,W,F,27.45833333
WF-240,W,F,44.75862069
WF-241,W,F,32.68
WF-242,W,F,27.28571429
WF-243,W,F,26.48
WF-244,W,F,26.63636364
WF-245,W,F,35.71428571
WF-246,W,F,42.82142857
WF-247,W,F,26.41666667
WF-248,W,F,29.44444444
WF-249,W,F,29.42857143
WF-250,W,F,36.8
WF-251,W,F,50.43478261
WF-252,W,F,26.46428571
WM-001,W,M,16.93548387
WM-002,W,M,30.43209877
WM-003,W,M,23.3452381
WM-004,W,M,25.8172043
WM-006,W,M,25.64534884
WM-009,W,M,23.69565217
WM-010,W,M,27.39784946
WM-011,W,M,30.98863636
WM-012,W,M,32.14444444
WM-013,W,M,32.37931034
WM-014,W,M,33.71428571
WM-015,W,M,23.37209302
WM-016,W,M,30.39534884
WM-017,W,M,23.58510638
WM-018,W,M,36.16304348
WM-019,W,M,25.10869565
WM-020,W,M,34.96590909
WM-021,W,M,29.11627907
WM-022,W,M,29.06451613
WM-023,W,M,37.59340659
WM-024,W,M,20.81707317
WM-025,W,M,21.12359551
WM-026,W,M,25.68604651
WM-028,W,M,24.92682927
WM-029,W,M,28.5862069
WM-031,W,M,21.73563218
WM-032,W,M,25.49425287
WM-033,W,M,26.59340659
WM-034,W,M,23.22093023
WM-035,W,M,20.70652174
WM-036,W,M,22.6627907
WM-037,W,M,17.55172414
WM-038,W,M,25.51685393
WM-039,W,M,19.23863636
WM-040,W,M,25.11702128
WM-041,W,M,24.96511628
WM-200,W,M,19.5
WM-201,W,M,38.91304348
WM-202,W,M,21.69230769
WM-203,W,M,29.25
WM-204,W,M,35.13333333
WM-205,W,M,29.36
WM-206,W,M,23.32258065
WM-207,W,M,26.58333333
WM-208,W,M,26.13793103
WM-209,W,M,20.39285714
WM-210,W,M,21.5
WM-211,W,M,27.79310345
WM-212,W,M,30.11111111
WM-213,W,M,26.36
WM-214,W,M,25.12
WM-215,W,M,29
WM-216,W,M,30.88461538
WM-217,W,M,18.73076923
WM-218,W,M,25.82142857
WM-219,W,M,22.16666667
WM-220,W,M,37.22222222
WM-221,W,M,41.07407407
WM-222,W,M,33.03448276
WM-223,W,M,42.76
WM-224,W,M,26.28571429
WM-225,W,M,36.82142857
WM-227,W,M,25.82608696
WM-228,W,M,31.07407407
WM-229,W,M,24.69565217
WM-230,W,M,21.60714286
WM-231,W,M,20.5862069
WM-232,W,M,23.2962963
WM-233,W,M,33.33333333
WM-234,W,M,23.31034483
WM-235,W,M,20.75
WM-236,W,M,20.73076923
WM-237,W,M,29
WM-238,W,M,24.81818182
WM-239,W,M,18.03571429
WM-240,W,M,34.38461538
WM-241,W,M,34.25925926
WM-242,W,M,23.06896552
WM-243,W,M,31.44
WM-244,W,M,30.51851852
WM-245,W,M,26.27586207
WM-247,W,M,25.5
WM-248,W,M,41.69230769
WM-249,W,M,43.18518519
WM-250,W,M,21.12
WM-251,W,M,27.72
WM-252,W,M,32.77777778
WM-253,W,M,24
WM-254,W,M,30.30769231
WM-255,W,M,34.07142857
WM-256,W,M,30.96153846
WM-257,W,M,30.03703704
WM-258,W,M,37.85185185
